dataset,lines,bytes,tool,trial,wall_s,cpu_s,peak_rss_kb,out_lines,exit,status,sha256
D_example_wb.100000,100000,26132566,urldedupe,3,1.421,1.421,53928,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
D_example_wb.100000,100000,26132566,urldedupe,4,1.435,1.433,53932,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
D_example_wb.100000,100000,26132566,urldedupe,5,1.443,1.442,53896,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
D_example_wb.100000,100000,26132566,urldedupe,6,1.435,1.435,53856,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
D_example_wb.100000,100000,26132566,urldedupe,7,1.426,1.425,53884,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
D_example_wb.100000,100000,26132566,urldedupe,8,1.413,1.412,53860,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
D_example_wb.100000,100000,26132566,urldedupe,9,1.441,1.440,53852,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
D_example_wb.100000,100000,26132566,urldedupe,10,1.458,1.458,53964,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
D_example_wb.100000,100000,26132566,urless,1,15.450,15.443,31944,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,urless,2,15.441,15.434,31988,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,urless,3,15.335,15.328,31912,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,urless,4,15.576,15.570,31912,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,urless,5,15.697,15.690,32000,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,urless,6,15.340,15.333,31924,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,urless,7,15.332,15.323,31940,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,urless,8,15.578,15.572,31916,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,urless,9,15.628,15.622,31908,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,urless,10,15.442,15.435,32092,1561,0,OK,1fd06eca4c6880d1819e3215565d769e1c1dead7dce05dc5e355af44c9b46384
D_example_wb.100000,100000,26132566,uddup,0,NA,NA,NA,NA,NA,SKIP_SIZE,
D_example_wb.200000,200000,47657683,xcull,1,1.891,1.890,3708,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,xcull,2,1.916,1.915,3776,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,xcull,3,1.879,1.878,3812,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,xcull,4,1.932,1.931,3820,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,xcull,5,1.903,1.902,3740,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,xcull,6,1.916,1.915,3632,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,xcull,7,1.900,1.899,3740,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,xcull,8,1.902,1.901,3748,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,xcull,9,1.901,1.901,3780,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,xcull,10,1.907,1.907,3772,1482,0,OK,1defd5f6934a20b9c20fbb4710348df8942ebb6dd04967b79ae40f9db7f45ad8
D_example_wb.200000,200000,47657683,uro,1,15.860,15.853,18256,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,uro,2,16.038,16.031,18212,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,uro,3,15.985,15.977,18264,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,uro,4,16.161,16.154,18176,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,uro,5,16.110,16.103,18124,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,uro,6,16.068,16.061,18116,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,uro,7,15.978,15.971,18104,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,uro,8,15.996,15.990,18104,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,uro,9,16.020,16.013,18152,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,uro,10,16.113,16.104,18060,1096,0,OK,ec5cd68f193c8c2bbf53ce0c6e8c73621c039f334eb0479a63d854bf8a003410
D_example_wb.200000,200000,47657683,urldedupe,1,2.944,2.942,101404,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urldedupe,2,2.951,2.949,101308,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urldedupe,3,2.979,2.977,101400,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urldedupe,4,2.985,2.984,101400,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urldedupe,5,2.989,2.988,101404,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urldedupe,6,3.044,3.043,101416,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urldedupe,7,2.964,2.963,101248,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urldedupe,8,2.996,2.995,101324,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urldedupe,9,2.988,2.987,101396,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urldedupe,10,2.978,2.977,101400,5042,0,OK,c357f4d4d2e6b816ccfb3530e9ce058b633cf0b99563abe97150fe5292ade950
D_example_wb.200000,200000,47657683,urless,1,57.200,57.173,31972,1582,0,OK,2d7a1b517d2a3d7dd453b897fe03dfd98e82a8a188b50c05b532202b397cd907
D_example_wb.200000,200000,47657683,urless,2,56.781,56.755,31932,1582,0,OK,2d7a1b517d2a3d7dd453b897fe03dfd98e82a8a188b50c05b532202b397cd907
D_example_wb.200000,200000,47657683,urless,3,56.748,56.718,32012,1582,0,OK,2d7a1b517d2a3d7dd453b897fe03dfd98e82a8a188b50c05b532202b397cd907
D_example_wb.200000,200000,47657683,urless,4,57.224,57.194,31980,1582,0,OK,2d7a1b517d2a3d7dd453b897fe03dfd98e82a8a188b50c05b532202b397cd907
D_example_wb.200000,200000,47657683,urless,5,57.009,56.984,31916,1582,0,OK,2d7a1b517d2a3d7dd453b897fe03dfd98e82a8a188b50c05b532202b397cd907
D_example_wb.200000,200000,47657683,urless,6,57.600,57.572,31884,1582,0,OK,2d7a1b517d2a3d7dd453b897fe03dfd98e82a8a188b50c05b532202b397cd907
